Ticker,Valoración de medias móviles,Volumen,Última,Media móvil simple (20),Media móvil simple (50),Media móvil simple (200),Banda superior de Bollinger (20),Banda inferior de Bollinger (20),"Nivel MACD (12, 26)","Señal MACD (12, 26)",Índice de fuerza relativa (14)
UBI/N,Fuerte Compra,26531,1952.99,1861.283,1804.367204,,2021.35370252,1701.21229748,3.95345584,8.36277169,57.62864661
CEMEX/CPO,Fuerte Compra,65273621,8.04,7.3695,6.9742,6.37265,8.0969744,6.6420256,0.06547548,0.05265093,66.97310406
UAA,Fuerte Compra,84,241.5,225.6610025,229.1456002,297.0132993,240.34629299,210.97571201,0.95099969,-0.83466544,57.13828062
VALE/N,Fuerte Compra,3454,248.95,245.9829985,247.417399,226.9464001,253.92781021,238.03818679,-1.19067145,-0.88868934,52.66397352
ROG/N,Neutral,160,7751.98,7791.06502,7848.935816,6686.721912,8190.53474669,7391.59529331,-86.5574107,-62.65980157,48.81050452
KIMBER/A,Comprar,2155082,35.98,36.32150015,35.7404001,36.34045008,38.29411561,34.34888469,-0.21625061,-0.04943966,50.14193359
HCITY,Fuerte Venta,734191,5.42,5.6975,6.1136,9.29010001,6.21583869,5.17916131,-0.20477525,-0.19489507,39.83322629
AIR/N,Comprar,25,1823.55,1839.616,1761.341602,,2072.42078864,1606.81121136,1.51630453,12.48033444,50.86212851
BBAJIO/O,Fuerte Venta,3370861,15.46,16.82549995,17.4856001,23.39650004,19.01373651,14.63726339,-0.71714737,-0.55938835,35.28831624
FDX,Fuerte Compra,1082,4943.3301,4780.326025,4210.429602,3237.2922505,4999.25454991,4561.39750009,197.34465439,229.41009862,68.97398855
AC,Fuerte Venta,1253453,96.940002,101.7555005,103.06920034,101.97475021,111.0619304,92.4490706,-2.47244433,-1.69416414,37.68987655
GIGANTE,Neutral,3614,24.120001,23.1259997,24.67040014,29.45590002,25.89644793,20.35555147,-0.45234264,-0.67711235,57.60682329
FIBRAPL/14,Fuerte Compra,229659,43.689999,43.89049935,43.28239994,40.97300064,45.14844117,42.63255753,-0.06104129,0.07899898,50.96581716
Q,Vender,617883,85.300003,86.54800045,89.48840026,85.36145027,91.07659275,82.01940815,-1.72295927,-1.54414003,45.23384852
SNAP,Fuerte Compra,24,511.76999,487.369501,505.8277994,,521.13169415,453.60730785,3.41130079,-0.15439217,55.80704476
UNIFIN/A,Neutral,37632,18.5,18.555,18.28900914,21.65384233,19.21779686,17.89220314,0.04213717,0.09738359,50.85386093
LIVEPOL/C-1,Fuerte Compra,805610,58.790001,56.9250003,56.00680016,71.95150002,59.20898451,54.64101609,0.25784137,0.19287266,60.20149788
NKE,Fuerte Compra,1080,2515,2446.29651,2313.2984,2069.7675485,2544.07089516,2348.52212484,46.94884539,51.54669428,64.36741328
MMM,Vender,21219,3531.8999,3607.865995,3546.442802,3366.7582015,3734.64525204,3481.08673796,-2.08309772,12.48766825,47.34385785
BSMX/B,Fuerte Venta,1518391,12.7,14.026,14.79280004,19.12370001,16.14407837,11.90792163,-0.68752386,-0.54375599,30.75108569
TERRA/13,Fuerte Venta,163656,27.42,27.9105,27.76459998,28.01659999,28.80334906,27.01765094,-0.18290389,-0.05242361,44.46358738
GMXT,Fuerte Compra,5625199,29.65,28.7284998,27.1443998,25.55299987,29.6523454,27.8046542,0.54650624,0.59738014,62.48385069
SITES/B-1,Fuerte Compra,1547021,18.66,17.34900005,16.94200002,15.09875001,18.70718852,15.99081158,0.31016151,0.16163332,66.17122685
CULTIBA/B,Fuerte Compra,3451,11,10.6445,10.96,10.98305,11.18607086,10.10292914,-0.02903514,-0.10517025,56.94708915
MU,Fuerte Venta,5427,983.85999,986.0675,1064.686602,1056.13284905,1032.2856858,939.8493142,-22.13714685,-24.57672045,43.63327258
AUTLAN/B,Fuerte Compra,28685,10.69,10.6435,9.417,8.41630001,11.0090831,10.2779169,0.31592727,0.42542313,59.98966567
FIBRAHD/15,Fuerte Venta,6654,4.63,4.7745,4.8278,6.20330001,4.9951785,4.5538215,-0.06694732,-0.04525917,40.59632903
FCX,Fuerte Compra,214407,345.42001,333.6765015,313.4368024,239.11975055,356.53630444,310.81669856,10.20433816,10.97816836,61.82474748
FIBRAMQ/12,Vender,2140147,24.75,25.2715001,25.11120006,24.09695001,26.18898117,24.35401903,-0.14628933,0.00663537,45.03974257
DANHOS/13,Fuerte Venta,561640,18.709999,20.5265,21.098,23.42650002,22.54510622,18.50789378,-0.65522442,-0.41601499,32.56597574
GILD,Fuerte Venta,108,1397,1438.715505,1560.9044,1546.7792505,1515.41500374,1362.01600626,-45.28744286,-47.37689658,37.52417687
AGUA,Fuerte Compra,222715,16.18,16.06000025,15.2904001,14.79603187,16.44382315,15.67617735,0.19388901,0.24684925,55.11385196
SIMEC/B,Fuerte Venta,216,45.080002,45.8215001,46.14600002,55.04555001,47.40837548,44.23462472,-0.56329874,-0.49419879,44.69491777
ELEMENT,Fuerte Compra,85384,9.8,9.0150001,7.48380004,8.23740001,9.88825814,8.14174206,0.60896099,0.60768548,78.09490651
SORIANA/B,Fuerte Venta,203898,15.39,15.70599985,16.69720002,19.81570002,16.57959886,14.83240084,-0.40094457,-0.41251851,39.65030527
TMO,Fuerte Compra,13853,9201.25,9071.355375,8259.666536,6337.492174,9437.55771431,8705.15303569,274.89275133,333.60413523,59.54903926
VLO,Fuerte Venta,405,984.25,1149.3600005,1208.2445982,1430.67030235,1303.94210788,994.77789312,-59.26937229,-40.62639797,28.71590134
GMEXICO/B,Fuerte Compra,15532779,59.419998,59.04749985,58.06800008,52.08430021,60.77734204,57.31765766,0.23069474,0.3632172,53.22525664
CAT,Fuerte Compra,1505,3254.55,3159.14099,3063.077386,2767.4257505,3283.2307944,3035.0511856,54.0253172,47.56811291,60.96994234
QCOM,Neutral,4489,2437.29,2518.354485,2340.838798,1890.6409995,2670.25045188,2366.45851812,24.84565432,57.84148724,48.07291751
PAPPEL,Fuerte Venta,20531,15.24,15.81599995,16.13859998,17.46485002,16.61111994,15.02087996,-0.29353425,-0.2104708,37.96157748
RSGA,Fuerte Compra,33,2066.25,1935.721505,1817.670802,,2112.38441127,1759.05859873,70.45059663,61.88557035,64.88601767
MRNA,Fuerte Venta,31901,1258.95,1407.478995,1559.993396,,1616.68201899,1198.27597101,-87.03309347,-69.50332776,36.81001139
KO,Fuerte Compra,4003,1089,1076.958005,1061.4444004,1066.64824915,1121.26363109,1032.65237891,8.99373701,9.42181808,53.99997771
SAN,Fuerte Venta,583,45.5,48.5945,51.57980002,61.38799999,51.8944239,45.2945761,-1.527461,-1.2840027,29.71559403
BDX,Fuerte Venta,3108,5026,5624.221035,5448.194996,,6401.93837436,4846.50369564,-147.45686432,-42.69210789,34.5175364
TCEHY/N,Vender,310,1420,1490.1655,1528.2858,1210.8324489,1587.00972798,1393.32127202,-25.01815693,-13.23247992,41.72263271
EDUCA/18,Fuerte Compra,445,29,28.92250005,28.71340002,27.53174999,29.16014456,28.68485554,0.07689395,0.10400287,60.12070566
IENOVA,Fuerte Venta,4758140,60.669998,63.81150025,64.67140022,73.86700018,68.91930814,58.70369236,-1.42966686,-0.94585823,38.81425895
GBM/O,Comprar,569,8.23,8.154,8.1836,8.63670181,8.18887119,8.11912881,-0.00346914,-0.01310646,74.75700717
AZN/N,Fuerte Venta,2276,1149.55,1215.19349,1239.002798,1035.84019935,1294.53082334,1135.85615666,-23.43781054,-14.79353926,40.63609253
CUERVO,Fuerte Compra,1152690,42.639999,41.69599985,42.44179994,37.01875005,43.30145732,40.09054238,-0.15163391,-0.23065068,53.16745809
DKNG,Fuerte Compra,1093,921,816.9545015,,,924.37337893,709.53562407,23.72745922,12.38625991,59.76728291
JD/N,Neutral,1244,1587,1678.748,1516.234602,1082.1184995,1843.77708054,1513.71891946,38.93704685,65.74967383,46.7333895
TLEVISA/CPO,Vender,6406989,27.809999,27.9889998,26.75299992,31.98395002,29.64693687,26.33106273,0.15430982,0.24792062,50.38497954
AMX/L,Fuerte Venta,62133714,13.37,13.605,14.0946,14.79499999,14.38236735,12.82763265,-0.27661574,-0.2768754,42.12933855
UBER,Fuerte Compra,5620,781.79999,711.9390015,715.5519996,681.78295,789.84486052,634.03314248,15.96868258,7.55280493,64.02917256
HD,Vender,202,5890,6139.968505,5998.681218,5051.401807,6554.83691946,5725.10009054,-52.32540406,1.15886702,42.23435624
GCARSO/A1,Fuerte Venta,516090,42.790001,44.42249965,44.30839988,54.59684988,47.61139131,41.23360799,-0.66328321,-0.44529055,42.51314198
LYFT,Vender,1,647.66998,641.974007,677.6856016,,697.63213924,586.31587476,-9.77280796,-14.09876941,48.94685753
MRK,Vender,102,1802,1858.436,1815.584002,1750.0966995,1921.03828603,1795.83371397,-3.21348063,8.76623084,42.58950009
BA,Fuerte Venta,226,3419.99,3707.039005,3830.439016,4556.5918525,3998.54239777,3415.53561223,-104.06843119,-65.6790678,34.5045167
TAL/N,Neutral,15688,1564,1656.529995,1531.203196,974.2166484,1787.23479894,1525.82519106,9.09915041,33.80443737,45.95954424
WALMEX,Fuerte Venta,68861465,50.610001,54.1695,54.82920006,55.70849994,59.42931524,48.90968476,-1.35644217,-0.9186074,29.47295639
EOG,Fuerte Venta,1440,824.5,1021.3295,1014.323999,1486.16299775,1260.63572978,782.02327022,-68.27413547,-45.17871076,31.39291133
WBA,Fuerte Venta,40,750,846.8040005,898.6571978,1002.51134555,975.91186367,717.69613733,-43.16144559,-33.96744711,22.42759252
MFRISCO/A-1,Fuerte Compra,33800,3.9,3.7475,3.6558,2.97515,3.91445808,3.58054192,0.04869081,0.03807695,60.75127451
PINFRA,Fuerte Venta,195904,159.11,165.9685005,164.3928004,175.8339502,177.0068561,154.9301449,-1.84230802,-0.6613916,43.11304816
INO,Fuerte Venta,1171,211,258.0324995,394.8973986,,343.54561319,172.51938581,-50.65397706,-53.08831926,28.95440317
SPGI,Vender,1109,7418.8901,7815.34,7517.157564,5458.560149,8239.70339864,7390.97660136,3.15807644,98.7349882,40.67092217
FMTY/14,Fuerte Compra,9387,10.09,9.978,9.8854,10.60515001,10.08964229,9.86635771,0.01676464,0.01206643,57.07955785
URBI,Fuerte Venta,1256,14,14.6425,16.04880004,17.59635003,16.90949691,12.37550309,-0.80304422,-0.77071597,37.70387586
BIDU/N,Fuerte Venta,463,2565,2693.390005,2743.605996,2518.95905,2862.83343826,2523.94657174,-45.65701657,-25.51335016,39.49310254
FSHOP/13,Vender,2405,5.97,5.9815,5.89107186,7.76378959,6.14203349,5.82096651,0.01773196,0.01909682,50.46208294
GICSA/B,Fuerte Venta,20446,3.11,3.1415,3.1936,4.6223,3.25919027,3.02380973,-0.03653345,-0.03818363,45.03566214
GCC,Vender,417602,99.470001,101.9889999,101.6285999,91.3449997,105.02846662,98.94953318,-0.42276661,0.04978454,43.2815922
TGT,Neutral,91,3144,3248.605005,2974.735198,2464.5921475,3478.72330132,3018.48670868,46.58133711,80.90388155,50.52267846
GFNORTE/O,Fuerte Venta,12544396,75.230003,77.8529999,79.05599986,87.18914998,84.73324076,70.97275904,-1.51343027,-1.24173587,41.90287502
BABA/N,Vender,2793,5770.1499,6050.56149,5814.317572,4776.501741,6578.78313996,5522.33984004,42.13157024,117.84409378,44.0183607
UL/N,Fuerte Compra,16,1320.67,1332.0705,1284.6778,1182.097899,1364.45906926,1299.68193074,10.07722013,14.29174971,53.26322234
PFE,Fuerte Venta,18409,770.10999,819.438498,825.4353974,784.3187006,880.26034004,758.61665596,-16.72645547,-9.91305927,35.79413069
BAC,Fuerte Venta,2835,542.41998,561.9210015,556.1566012,577.0548495,583.63686165,540.20514135,-3.58148812,-0.03550717,41.92992142
NVO/N,Vender,1630,1412.28,1457.80699,1482.817,1225.0069519,1536.45204422,1379.16193578,-22.92016855,-17.05860674,38.20511132
UNP,Fuerte Compra,703,4140.8999,4110.433005,3837.852004,3186.9568465,4397.67404708,3823.19196292,100.24056376,119.50587181,55.89639284
FRAGUA/B,Vender,14,220,220.7740015,218.6652008,225.1520002,226.74412859,214.80387441,0.64115191,0.7341481,48.84753534
MDT/N,Comprar,1,2260,2256.327495,2193.296396,2000.491301,2394.3290518,2118.3259382,30.25755101,33.18735042,51.29711113
UTSI,Fuerte Venta,2,25.15,33.7074997,37.7545999,52.73395005,40.7264219,26.6885775,-2.88736244,-2.26874086,28.83772031
SNPS,Neutral,156,4380.7598,4475.213965,4198.4154,,4772.29231155,4178.13561845,69.49575371,114.45822965,49.64358518
FNOVA/17,Fuerte Venta,43092,18.6,18.9719996,18.97579982,,19.48220074,18.46179846,-0.00162901,0.03385391,31.91820343
SPOT/N,Vender,12,5360,5756.667505,5838.55,3921.505244,6454.81221079,5058.52279921,-125.18009027,-47.26630093,40.65203586
MRVL/N,Fuerte Compra,1,840,803.597501,695.9828018,,872.70739435,734.48760765,38.70017528,42.15419095,62.78852092
PEP,Fuerte Venta,3,2911,3016.67253,3023.837618,2862.4018045,3116.50574098,2916.83931902,-26.02777781,-9.91105678,33.46546819
GPROFUT,Fuerte Compra,3,55.189999,46.76649865,42.45399902,61.64049977,59.56917309,33.96382421,4.05164062,2.96317613,96.94988598
ZS,Comprar,2,2871.98,2937.859,2546.771996,,3385.22527078,2490.49272922,137.78833548,190.37889898,51.83809368
LIVEPOL/1,Comprar,24,58.990002,57.4360008,59.70700026,80.42500009,61.90440458,52.96759702,0.1863248,-0.16457905,56.24770397
FRES,Neutral,2,342,366.398002,338.3258002,248.09930045,419.55151924,313.24448476,-4.2183394,2.08996432,43.62589925
BLUE,Vender,2,1238.9,1425.389,,,,,,,25.27457462
LMT,Fuerte Venta,490,8156.6802,8544.75352,8450.63758,7876.794248,8941.53846085,8147.96857915,-69.14018069,-2.66711685,33.67798743
OPK,Fuerte Venta,9,67.980003,83.92250025,99.79920048,106.46270004,122.52719531,45.31780519,-10.7588595,-9.58783593,34.63060679
RGLD,Comprar,1,2852.8899,2673.055975,,,,,364.89674781,441.81512228,59.10630992
INTC,Fuerte Venta,3016,1050,1087.24701,1157.721404,1234.5178495,1130.47068949,1044.02333051,-21.93026251,-21.93542286,37.27676489
GISSA/A,Fuerte Venta,300000,16.299999,16.60749965,15.95379982,18.50204994,17.33468316,15.88031614,0.02751228,0.12577715,47.90140916
CYDSASA/A,Fuerte Venta,1,18.950001,18.98250035,19.85180014,21.98644998,19.45923393,18.50576677,-0.2362843,-0.30231338,37.12996255
ACTINVR/B,Neutral,181,8.75,8.723,8.7902,9.75505,8.93124025,8.51475975,-0.01187103,-0.02523953,50.69510953
CL,Vender,1,1670,1698.5655,1684.872404,1409.379297,1760.79486814,1636.33613186,3.32974286,12.57346673,46.48500489
RDS/B,Fuerte Venta,6,581,632.8115015,677.164,990.47925045,711.95899474,553.66400826,-28.04641047,-24.08101205,27.17233165
YUMC,Fuerte Compra,4120,1149.02,1115.180505,970.1528,,1210.18557149,1020.17543851,51.14793702,52.81560097,64.84297157
AXP,Vender,776,2200,2201.016005,2171.811796,2217.897046,2308.34323218,2093.68877782,14.86237225,17.58336444,49.24742891
RTX,Fuerte Venta,1,1284,1340.408505,1360.381802,,1405.35340901,1275.46360099,-20.32335824,-13.44755608,35.24366342
HOTEL,Fuerte Venta,262248,4.01,4.0175,3.9878,4.861,4.08349242,3.95150758,0.00140182,0.00130337,50.13339167
VALUEGF/O,Vender,9,144,151.42,143.49339994,114.30534997,160.65246446,142.18753554,0.06509333,1.72972929,35.8447994
CNK,Fuerte Venta,28,275,303.615,286.5892002,,369.03866651,238.19133349,5.4752976,10.95684625,42.9469214
CADU/A,Vender,132,6.48,6.6325,6.6936,6.2952,6.9100518,6.3549482,-0.06077343,-0.03715662,34.99311314
FTNT,Fuerte Venta,40173,2547.1699,2814.7015,2944.8214,,3105.8950878,2523.5079122,-100.06528701,-64.05958193,28.18442426
ERIC/N,Vender,5,232.42,251.631497,243.8842,179.2409003,271.71862494,231.54436906,-3.23092071,0.63516079,35.07439191
LACOMER/UBC,Vender,342436,32.599998,33.96649945,34.21339982,26.94344981,36.13348218,31.79951672,-0.47721792,-0.26998544,35.78866376
SWKS,Fuerte Venta,2,2923.5801,2982.777005,,,3470.61052677,2494.94348323,,,63.96663678
PG,Neutral,10,2932.8,3012.83,2916.1826,2623.616499,3098.8347001,2926.8252999,8.15441011,28.59668182,44.53205071
CDEV,Fuerte Venta,114,11.5,15.35000005,17.88659994,,19.83567954,10.86432056,-1.95393558,-1.62716812,24.75828995
SDC,Fuerte Compra,1,249,203.5899995,180.8690002,,254.52513118,152.65486782,14.09388993,7.580324,66.11074473
CMOCTEZ,Comprar,32,47.5,46.99749985,47.29379988,53.55805027,47.6323187,46.362681,0.00313813,-0.12291235,59.60239907
CDNS,Neutral,314,2206.8,2332.44048,1780.228792,,2529.38136325,2135.49959675,133.87472943,196.08108078,56.69030005
MC/N,Comprar,35,10178.9,10353.295,9884.397788,8580.452292,10690.30093286,10016.28906714,72.99877627,134.49117971,50.10198494
BZUN/N,Fuerte Venta,28,810,911.9215,786.8629966,,993.27490411,830.56809589,13.77636627,35.87497866,38.82406119
PII,Comprar,65,2004,1858.75803,1872.312408,,2569.60982025,1147.90623975,101.43736765,79.32067122,52.44779808
PLANI,Vender,15,19,19,,,19,19,-0.0614189,-0.08662003,41.57302613
LAMOSA,Vender,2,23,23.13349995,22.54140014,26.15965004,23.55413146,22.71286844,0.1374996,0.16856954,53.32702963
TEAK/CPO,Neutral,1168,3.8,3.6325,3.8886,6.26480002,3.83218726,3.43281274,-0.03663749,-0.09207241,53.63849436
FIHO/12,Fuerte Venta,432888,4.39,4.5375,4.4208,6.01235001,4.71389444,4.36110556,-0.00314434,0.02806305,41.70198816
NVAX,Fuerte Venta,1,2000,2534.008995,,,3501.74150289,1566.27648711,-320.43418952,-269.7503628,37.52457919
CIE/B,Vender,106,4.95,4.9565,4.7934,9.078,5.13077277,4.78222723,0.04088509,0.04176582,52.92527991
TSM/N,Neutral,6,1703,1742.661,1665.960002,1255.06615055,1811.76731083,1673.55468917,8.41592583,24.14507435,47.96602555
TCOM/N,Fuerte Compra,28,631,592.1489995,602.9791992,,654.46983806,529.82816094,12.04991567,3.72143876,59.83010757
FEMSA/UB,Fuerte Venta,84,93,98.11100005,112.65820002,136.73325006,111.56485876,84.65714134,-6.12636321,-6.68219491,13.9847037
BMRN,Fuerte Venta,1,1573,1800.1035,2133.734198,,2516.87088518,1083.33611482,-178.9330417,-165.6510797,28.54436077
VISTA/A,Fuerte Venta,30,57,67.1859996,71.3508,98.53859989,78.89668202,55.47531718,-4.10332478,-3.01838029,10.23933151
MELI/N,Vender,1,23087,25316.3465,24479.6884,16536.7850455,28601.48477622,22031.20822378,-541.62149933,-86.60218245,38.13856824
DPZ,Fuerte Venta,6,8290.6504,8809.36865,8727.522654,,9520.18694503,8098.55035497,-127.45639981,-30.90454537,32.48042338
WLL1,,2,12.32,,,,,,,,
MFRISCO/A-2,Fuerte Compra,27,3.8,3.6435,2.95,,3.91883797,3.36816203,0.21060457,0.2439246,69.47302008
FPLUS/16,Fuerte Compra,320,12.37,12.2965,12.0794,11.6048,12.59544983,11.99755017,0.072426,0.08716607,61.19660146
PINFRA/L,Comprar,184,115.5,117.178,110.448,123.07480005,120.72092873,113.63507127,1.28913395,1.93849655,52.85463267
TRAXION/A,Comprar,412867,15.6,15.653,15.1556,14.00724999,15.77532743,15.53067257,0.09381766,0.14679113,55.03640699
ADSK,Neutral,1002,5054,5261.9135,4822.097392,3352.0561445,5528.35996444,4995.46703556,47.14502815,120.61875482,46.93821555
CMR/B,Fuerte Venta,5,2.48,2.527,2.5098,3.02995,2.60924354,2.44475646,-0.01428723,-0.00832654,41.61313571
ABEV/N,Vender,2,52.98,52.62500015,57.1401999,73.41450008,56.64867703,48.60132327,-1.1857395,-1.64206775,44.12075867
JPM,Fuerte Venta,981,2150,2188.939025,2188.628008,2307.2472045,2254.82961509,2123.04843491,-6.97683286,-0.25803469,44.13095596
VINTE,Fuerte Venta,202,27.99,27.993,27.97779704,28.05413089,28.00728286,27.97871714,-0.01033524,-0.01544502,47.12837065
CMCSA,Vender,45,945,964.3255005,951.6323994,882.46995075,988.74486592,939.90613508,0.28092478,4.5496639,44.17243911
APD,Fuerte Compra,11781,6377.1602,5121.418105,,,7365.65802035,2877.17818965,1227.01993995,1255.38796823,90.74539149
KOF/UBL,Fuerte Venta,379949,86.309998,92.37899965,93.5042001,102.87665007,100.36462196,84.39337734,-2.27941961,-1.49207838,29.60575064
FUNO/11,Fuerte Venta,12496768,16.32,17.2654998,17.67159996,22.83204995,18.64049749,15.89050211,-0.44911385,-0.35264244,34.61145671
MCD,Fuerte Compra,24,4655,4643.44898,4486.544382,4147.8788975,4726.66395769,4560.23400231,40.50403144,50.37511804,56.86024996
DBX,Fuerte Venta,18,429.70001,445.314001,469.9546012,,467.33271647,423.29528553,-9.81273397,-9.12678735,40.5335888
GNP,Fuerte Compra,1099,112.92,91.03300025,69.8532001,45.21820001,117.49283654,64.57316396,12.19100475,10.5962888,98.7087162
DHR,Comprar,930,4375.27,4514.553025,4203.640194,2964.971655,4766.78074969,4262.32530031,37.82878131,88.37314677,49.00656941
ICH/B,Fuerte Venta,1221,79.169998,82.059501,84.4727999,86.83914981,85.78856346,78.33043854,-1.35845879,-1.1466877,29.90182419
ELEKTRA,Fuerte Venta,71634,1186.6899,1194.937505,1202.037992,1323.306696,1211.32295812,1178.55205188,-3.69807325,-3.59342311,42.90937817
ORBIA,Fuerte Compra,1937333,37.07,36.7515002,35.81260016,36.32529999,38.43335997,35.06964043,0.128717,0.13826018,54.6379885
JNJ,Fuerte Venta,3404,3155.99,3302.942505,3297.356604,3110.3705995,3440.00639968,3165.87861032,-27.67096865,-7.15769174,40.81498906
NIO/N,Comprar,27917,380.5,378.0170005,325.3066002,,471.99646206,284.03753894,22.80721018,29.49507597,54.87075449
HERDEZ,Fuerte Compra,323606,39.18,38.9589999,36.31239974,34.93724992,40.65093252,37.26706728,0.85327392,0.96010087,53.77960996
TM/N,Comprar,11,2891.3999,2872.348465,2846.105798,2407.631802,3066.43654721,2678.26038279,45.5895367,43.29110645,51.72907392
GOLD/N,Fuerte Compra,1345,640,642.212503,632.7165994,501.45624935,667.63567152,616.78933448,1.94125188,2.25282705,51.29117007
AZTECA/CPO,Fuerte Venta,305009,0.312,0.33125,0.33742,0.50266,0.35091596,0.31158404,-0.00669866,-0.00430216,29.93563248
MKTX,Vender,11,9837.4004,10858.48354,8451.000428,,12232.76225187,9484.20482813,465.35711497,799.54254107,49.58150252
